"PT_id","Legacy_payment_code","Standard_payment_code","Description","Net_terms","PT_Days"
"1321","1087","N030","NET 30 DAYS","Net","33"
"1322","000B","2510P","NET 25 INST 10 PROX","MNS","67"
"1323","000F","N25P","NET 25TH PROX","MNS","67"
"1324","000R","N030","NET 30 DAYS","Net","67"
"1325","MNS3","MNS2-3","PAYMENT ON 2ND DAY, 3RD MONTH","MNS","82"
"1326","000L","N1025","NET 10TH AND 25TH PROX","MNS","67"
"1327","050B","2510P","NET 25 INST 10 PROX","MNS","67"
"1328","050L","N1025","NET 10TH AND 25TH PROX","MNS","67"
"1329","100B","2510P","NET 25 INST 10 PROX","MNS","67"
"1330","100C","N10P","NET 10TH PROX","MNS","67"
"1331","100F","N25P","NET 25TH PROX","MNS","67"
"1332","100L","N1025","NET 10TH AND 25TH PROX","MNS","67"
"1333","200B","2510P","NET 25 INST 10 PROX","MNS","67"
"1334","200C","N10P","NET 10TH PROX","MNS","67"
"1335","200F","N25P","NET 25TH PROX","MNS","67"
"1336","200L","N1025","NET 10TH AND 25TH PROX","MNS","67"
"1337","200X","N030","NET 30 DAYS","Net","67"
"1338","250X","N030","NET 30 DAYS","Net","67"
"1339","300B","2510P","NET 25 INST 10 PROX","MNS","67"
"1340","300X","N030","NET 30 DAYS","Net","67"
"1341","350X","N030","NET 30 DAYS","Net","67"
"1342","400X","N030","NET 30 DAYS","Net","67"
"1343","450X","N030","NET 30 DAYS","Net","67"
"1344","500L","N1025","NET 10TH AND 25TH PROX","MNS","67"
"1345","500X","N030","NET 30 DAYS","Net","67"
"1346","0005","N010","NET 10 DAYS","Net","67"
"1347","000C","N10P","NET 10TH PROX","MNS","67"
"1348","000M","N020","NET 20 DAYS","Net","67"
"1349","000Q","MNS2-2","PAYMENT ON 2ND DAY, 2ND MONTH","MNS","67"
"1350","000T","N015","NET 15 DAYS","Net","67"
"1351","N30","N030","NET 30 DAYS","Net","67"
"1352","MN","MNS2-2","PAYMENT ON 2ND DAY, 2ND MONTH","MNS","67"
"1353","M3","MNS2-3","PAYMENT ON 2ND DAY, 3RD MONTH","MNS","67"
"1354","10","N010","NET 10 DAYS","Net","67"
"1355","40","N25P","NET 25TH PROX","MNS","67"
"1356","D0","IMM","IMMEDIATE","Net","67"
"1357","ZMN2","MNS2-2","PAYMENT ON 2ND DAY, 2ND MONTH","MNS","46"
"1358","ZCRI","ZCRI","CASH UPON RECEIPT OF INVOICE","Net","60"
"1359","ZP15","N015P-NM","NET 15TH PROX (NEXT MONTH)","MNS","33"
"1360","Z51S","2510P","NET 25 INST 10 PROX","MNS","21"
"1361","ZCAD","ZCAD","PAYABLE IMMEDIATELY DUE NET","Net","2"
"1362","Z015","N015","NET 15 DAYS","Net","13"
"1363","Z010","N010","NET 10 DAYS","Net","11"
"1364","Z020","N020P","NET 20TH PROX","MNS","37"
"1365","Z025","N25P","NET 25TH PROX","MNS","43"
"1366","Z028","N028P","NET 28TH PROX","MNS","67"
"1367","Z030","N030","NET 30 DAYS","Net","30"
"1368","Z040","N040","NET 40 DAYS","Net","43"
"1369","Z045","N045","NET 45 DAYS","Net","47"
